  Seq   Jmag    Hmag    Kmag    [3.6]   [4.5]   [5.8]   [8.0]   [24]   AKs    alpha   Cl   2M   Simbad   GLON                 GLAT                  RA2000              DEC2000              
  36    16.28   14.46   13.46   12.27   11.84   11.44   10.95   8.29   0.93   -1.32   D    2M   Simbad   214.26711268327543   -19.777901860243517   85.66287500000001   -10.009305555555551  
  37    ""      ""      ""      13.95   13.11   12.22   11.17   6.65   ""     0.36    P    2M   Simbad   214.22908512398382   -19.844767223281476   85.58595833333334   -10.005638888888889  
  38    13.44   12.12   11.47   10.65   10.32   9.98    9.27    6.38   0.53   -1.25   D    2M   Simbad   214.31172945310402   -19.68056161875492    85.77045833333334   -10.005527777777775  
  39    15.37   14.62   14.07   13.46   13.12   12.58   11.79   ""     0.0    -0.89   D    2M   Simbad   214.25011968727534   -19.80110858877062    85.634625           -10.004805555555556  
  40    15.23   11.95   9.76    7.51    6.41    5.53    4.63    0.98   1.91   0.44    P    2M   Simbad   214.22287851502327   -19.84903733436108    85.5795             -10.002194444444445  
  41    16.67   15.28   14.48   13.28   12.74   12.35   11.82   8.46   0.53   -1.19   D    2M   Simbad   214.24620584414072   -19.79014183319352    85.64308333333334   -9.996777777777778   
  42    ""      ""      13.93   10.75   9.52    8.69    7.97    3.51   ""     0.3     P    2M   Simbad   214.21520473981602   -19.85129033295627    85.57429166666667   -9.996638888888885   
  43    ""      ""      ""      12.9    12.3    12.08   11.77   5.89   ""     -1.6    D    2M   Simbad   214.21183528954967   -19.85414691691428    85.57029166666666   -9.994999999999996   
  44    15.94   13.38   11.76   9.59    8.62    7.83    7.09    3.29   1.42   0.01    P    2M   Simbad   214.21273312091836   -19.851913303727795   85.57270833333334   -9.994805555555555   
  45    12.56   11.54   10.83   9.59    9.1     8.68    8.03    5.32   0.11   -1.06   D    2M   Simbad   214.2483085067064    -19.778908367071157   85.65424999999999   -9.99375             
  46    15.32   13.64   12.68   11.87   11.34   10.76   9.89    6.49   0.76   -0.56   D    2M   Simbad   214.24067710364088   -19.777908162246757   85.65204166666666   -9.986833333333337   
  47    9.97    8.96    8.23    7.47    7.14    6.85    6.34    3.34   0.09   -1.55   D    2M   Simbad   214.23476820475716   -19.778221977783705   85.64933333333332   -9.981944444444444   
  48    14.67   13.88   13.48   13.16   13.0    12.75   12.2    9.41   0.04   -1.72   D    2M   Simbad   214.24320376326625   -19.751192738505306   85.67758333333333   -9.977527777777775   
  49    13.0    11.71   11.05   10.23   9.75    9.16    8.27    4.87   0.5    -0.57   D    2M   Simbad   214.18263004482202   -19.87050085758535    85.54333333333335   -9.977194444444445   
  50    14.97   14.2    13.79   13.24   12.9    12.55   11.79   9.18   0.01   -1.19   D    2M   Simbad   214.26710466761753   -19.69400725656914    85.73983333333335   -9.973333333333333   
  51    12.85   11.7    11.13   10.28   9.86    9.44    8.94    6.33   0.39   -1.29   D    2M   Simbad   214.20722522411376   -19.784953908783145   85.631875           -9.961416666666667   
  52    13.55   12.07   11.51   10.85   10.67   10.64   10.37   5.43   0.8    -2.31   D    2M   Simbad   214.2446842486535    -19.710425843033626   85.71558333333333   -9.961305555555553   
  53    15.31   13.8    12.99   12.23   11.94   11.61   11.21   8.51   0.67   -1.66   D    2M   Simbad   214.2530347689263    -19.6910804858923     85.73675            -9.960111111111113   
  54    14.71   13.35   12.68   11.92   11.46   10.87   10.11   7.67   0.58   -0.73   D    2M   Simbad   214.14562630280926   -19.88823575736561    85.51191666666666   -9.95336111111111    
  55    11.24   10.17   9.39    8.55    8.08    ""      ""      3.25   0.13   ""      D    2M   Simbad   214.15280624201029   -19.840332133872437   85.55879166666666   -9.938916666666668   
  56    ""      ""      12.34   10.78   10.06   9.34    8.56    5.42   ""     -0.27   D    2M   Simbad   214.15098988456796   -19.839202850455724   85.55908333333333   -9.936888888888891   
  57    16.03   15.5    14.83   14.12   13.73   13.36   13.0    ""     0.0    -1.55   D    2M   Simbad   214.2013909911322    -19.73641631891304    85.674              -9.935638888888889   
  58    15.55   13.58   12.51   11.62   11.22   10.89   10.56   8.2    1.06   -1.62   D    2M   Simbad   214.22187287433312   -19.690505994639953   85.72450000000002   -9.933361111111113   
  59    12.57   11.26   10.52   9.48    9.06    8.65    7.86    4.57   0.46   -0.98   D    2M   Simbad   214.18714927985857   -19.741590776334174   85.66341666666668   -9.925749999999999   
  60    16.58   15.01   13.72   12.54   11.57   10.86   9.88    3.87   0.38   0.16    P    2M   Simbad   214.21947311142782   -19.667941013511115   85.74420833333332   -9.92163888888889    
  61    12.98   11.91   11.46   10.83   10.51   10.1    9.62    7.5    0.38   -1.43   D    2M   Simbad   214.15998346889603   -19.756573057468625   85.63854166666667   -9.909083333333333   
  62    14.84   13.03   12.22   11.35   10.96   10.41   9.69    6.2    1.06   -0.9    D    2M   Simbad   214.17651943639726   -19.70393852969169    85.69358333333334   -9.900555555555552   
  63    11.89   11.02   10.6    10.19   9.94    9.58    9.18    6.9    0.15   -1.66   D    2M   Simbad   214.08360272407538   -19.885755511956532   85.48879166666666   -9.899611111111113   
  64    14.01   12.84   12.11   11.35   10.85   10.37   9.77    7.34   0.28   -1.02   D    2M   Simbad   214.1207981956436    -19.790040961378683   85.59179166666667   -9.890138888888888   
  65    13.36   11.97   11.15   9.73    9.24    8.81    8.3     6.12   0.49   -1.2    D    2M   Simbad   214.1313804489805    -19.75523454451446    85.62804166666668   -9.884194444444445   
  66    12.85   11.84   11.38   10.63   10.22   9.65    9.03    6.92   0.29   -0.96   D    2M   Simbad   214.17846821100773   -19.628957935269113   85.76312499999999   -9.870027777777779   
  67    15.88   14.93   14.52   13.72   13.34   12.95   12.29   ""     0.25   -1.2    D    2M   Simbad   214.1771238422871    -19.624310677742418   85.76683333333334   -9.866888888888887   
  68    14.35   13.13   12.46   11.44   11.05   10.62   10.04   6.26   0.41   -1.23   D    2M   Simbad   214.15604950423347   -19.6328733096615     85.75033333333333   -9.852638888888889   
  69    16.69   13.75   11.55   8.35    7.3     6.43    5.59    2.23   1.47   0.31    P    2M   Simbad   214.14416891044488   -19.644826378920346   85.73449999999998   -9.847666666666667   
  70    13.52   12.06   11.16   9.99    9.6     9.19    8.38    4.41   0.54   -1.0    D    2M   Simbad   214.1453518419343    -19.641901354338653   85.73766666666668   -9.847416666666666   
  71    10.78   9.59    8.73    7.76    7.27    6.83    6.29    4.24   0.23   -1.15   D    2M   Simbad   214.11980352417376   -19.66746340824783    85.70375            -9.836666666666666   
  72    12.33   11.49   11.23   11.08   11.03   10.89   11.0    7.42   0.2    -2.71   D    2M   Simbad   214.01882651813088   -19.853709663868393   85.491625           -9.830833333333333   
  73    15.05   13.06   11.71   10.44   9.75    9.29    8.67    5.55   0.88   -0.84   D    2M   Simbad   214.06085953041296   -19.766091819456058   85.58916666666666   -9.82891666666667    
  74    16.35   14.74   13.68   12.32   11.86   11.42   10.86   7.39   0.6    -1.16   D    2M   Simbad   214.10668277918364   -19.674361907808713   85.69204166666668   -9.828472222222219   
  75    ""      14.42   12.73   11.45   10.75   10.25   9.85    ""     1.5    -1.02   D    2M   Simbad   214.08059001233863   -19.66167271219337    85.69295833333334   -9.800833333333337   
  76    ""      ""      13.82   11.74   10.73   10.16   ""      5.13   ""     ""      P    2M   Simbad   214.07997112508158   -19.649709473444258   85.70366666666668   -9.795166666666667   
  77    ""      ""      ""      12.74   11.22   10.25   9.33    4.21   ""     0.99    P    2M   Simbad   214.04005576434218   -19.72222227078663    85.62083333333332   -9.792388888888889   
  78    10.82   9.81    9.23    8.87    8.75    8.19    ""      4.38   0.2    ""      D    2M   Simbad   214.07227390124362   -19.651625469860615   85.69874999999999   -9.789444444444444   
  79    15.81   13.84   12.9    12.07   11.58   11.05   10.41   7.58   1.16   -0.92   D    2M   Simbad   214.0828663111334    -19.615538380633755   85.73616666666666   -9.782944444444444   
  80    15.03   13.47   12.33   11.09   10.44   9.87    9.35    7.03   0.5    -0.84   D    2M   Simbad   213.93123447743196   -19.903685168038635   85.40991666666667   -9.777916666666666   
  81    14.27   12.81   12.12   11.36   10.96   10.41   9.43    5.58   0.7    -0.6    D    2M   Simbad   214.02742086149667   -19.71269654257464    85.624375           -9.777555555555553   
  82    ""      15.59   14.59   13.66   13.28   12.88   12.27   ""     0.9    -1.24   D    2M   Simbad   214.0754110457679    -19.615879210009517   85.73279166666667   -9.77675             
  83    16.2    14.89   14.14   13.37   13.14   12.96   ""      ""     0.44   ""      D    2M   Simbad   214.0566289711561    -19.647614072090853   85.69599999999998   -9.774416666666669   
  84    12.92   11.97   11.46   10.67   ""      10.16   ""      6.5    0.16   ""      D    2M   Simbad   214.1077115453202    -19.543096112949197   85.81275000000001   -9.772944444444445   
  85    14.99   13.43   12.57   11.87   11.59   11.33   10.96   5.91   0.69   -1.79   D    2M   Simbad   214.0556543732519    -19.642174681103587   85.70058333333334   -9.77125             
  86    16.42   14.65   13.54   12.54   12.04   11.49   10.91   7.74   0.79   -0.95   D    2M   Simbad   214.05352106246465   -19.636443013691444   85.70495833333334   -9.766972222222222   
  87    14.94   13.53   12.84   11.94   11.36   10.65   9.75    7.11   0.63   -0.3    D    2M   Simbad   214.05540912610954   -19.626374694315032   85.71495833333336   -9.764250000000004   
  88    13.13   11.61   10.93   10.27   9.91    9.45    8.93    6.42   0.78   -1.27   D    2M   Simbad   214.05387584193264   -19.62191228322166    85.71841666666666   -9.761027777777777   
  89    ""      14.26   12.17   10.33   9.54    8.83    8.16    4.47   2.17   -0.34   P    2M   Simbad   214.04627997676255   -19.633514414017657   85.70466666666667   -9.75955555555556    
  90    14.81   13.36   12.58   11.86   11.62   11.45   ""      ""     0.62   ""      D    2M   Simbad   214.04399538037862   -19.627759842347153   85.70900000000002   -9.755138888888887   
  91    15.27   11.88   9.54    7.36    6.52    5.77    5.1     1.88   1.94   -0.24   D    2M   Simbad   214.04162810790146   -19.630245738891894   85.70575000000001   -9.754194444444446   
  92    13.05   11.41   10.54   9.53    9.03    8.51    7.81    4.86   0.78   -0.86   D    2M   Simbad   214.03278536166317   -19.643472276481713   85.69               -9.752361111111112   
  93    13.82   12.31   11.46   10.65   10.33   10.03   9.47    6.23   0.64   -1.49   D    2M   Simbad   214.0081699899122    -19.690925302599297   85.63641666666668   -9.751833333333334   
  94    12.7    11.49   10.47   9.4     8.85    8.32    7.53    4.94   0.13   -0.69   D    2M   Simbad   213.83078146622387   -20.041293968993273   85.24266666666665   -9.751805555555556   
  95    12.99   11.2    10.01   8.85    8.35    7.95    7.47    4.39   0.73   -1.26   D    2M   Simbad   214.025814347799     -19.653899949082852   85.67758333333333   -9.750916666666667   
  96    14.65   12.68   11.63   10.8    10.35   9.91    9.2     5.36   1.09   -1.01   D    2M   Simbad   214.03231641143122   -19.633028321790757   85.699375           -9.747472222222223   
  97    14.0    12.69   12.07   11.14   10.69   10.24   9.55    6.47   0.55   -1.01   D    2M   Simbad   214.02488529737377   -19.64643345130622    85.68404166666669   -9.746916666666667   
  98    14.51   12.97   12.15   11.25   10.69   9.98    8.9     5.35   0.7    -0.12   D    2M   Simbad   214.03235222149706   -19.62572147124376    85.70608333333335   -9.74436111111111    
  99    16.08   14.85   14.26   13.52   13.24   13.03   12.66   ""     0.48   -1.86   D    2M   Simbad   213.97656093759832   -19.724149111199466   85.593              -9.73925             
  100   12.85   12.08   11.76   11.2    10.83   10.39   9.79    7.9    0.09   -1.2    D    2M   Simbad   213.8511959090426    -19.967331353143464   85.31879166666667   -9.737333333333334   
  101   14.08   13.43   13.04   12.57   12.34   12.11   11.76   ""     0.0    -1.9    D    2M   Simbad   213.77083276448238   -19.948405867914772   85.30316666666667   -9.661               
  102   14.52   13.4    12.93   12.49   12.28   12.16   12.01   6.58   0.41   -2.3    D    2M   Simbad   213.93714745793824   -19.58288938244042    85.70616666666665   -9.64497222222222    
  103   ""      ""      ""      13.82   12.88   11.92   11.0    7.37   ""     0.41    FP   2M   Simbad   213.81189767482368   -19.797894463234222   85.45783333333333   -9.631083333333336   
  104   14.42   13.73   13.34   12.85   12.54   12.11   11.56   8.81   0.0    -1.33   D    2M   Simbad   213.6741235785557    -20.040326430156618   85.17933333333332   -9.618527777777777   
  105   10.69   9.72    9.1     8.19    7.81    7.46    6.73    3.84   0.13   -1.18   D    2M   Simbad   213.70815752863996   -19.963594870355514   85.26354166666667   -9.61436111111111    
  106   12.49   11.67   11.45   11.07   10.89   10.52   9.97    6.82   0.2    -1.55   D    2M   Simbad   213.6602149392383    -20.04133110492165    85.17270833333333   -9.607166666666666   
  107   13.14   12.29   11.9    11.64   11.48   11.28   11.04   8.19   0.13   -2.13   D    2M   Simbad   213.63060390265292   -20.07854192761506    85.12650000000002   -9.598083333333333   
  108   14.96   14.21   13.68   12.9    12.5    12.07   11.51   8.33   0.0    -1.23   D    2M   Simbad   213.73139117995902   -19.83581882117298    85.39004166666665   -9.579055555555554   
  109   13.33   12.51   12.17   11.72   11.49   11.1    10.48   8.17   0.12   -1.39   D    2M   Simbad   213.65259172294185   -19.987385581911212   85.21895833333333   -9.577472222222221   
  110   15.16   14.43   14.21   13.72   13.54   13.2    12.52   ""     0.11   -1.43   D    2M   Simbad   213.72432699105212   -19.820400233849863   85.40125            -9.566416666666667   
  111   15.87   15.07   14.58   13.58   13.06   12.74   12.29   ""     0.01   -1.39   D    2M   Simbad   213.7581822441329    -19.712404607867576   85.51400000000001   -9.548638888888885   
  112   13.96   13.1    12.69   12.28   11.96   11.67   11.06   7.84   0.13   -1.45   D    2M   Simbad   213.6372980675163    -19.928710515354908   85.26637500000001   -9.539222222222222   
  113   14.13   13.2    12.69   11.83   11.45   11.07   10.62   8.0    0.14   -1.43   D    2M   Simbad   213.64523591194316   -19.90850490953315    85.28812500000001   -9.53725             
  114   14.87   14.14   13.76   13.3    12.98   12.64   11.96   9.48   0.0    -1.3    D    2M   Simbad   213.61347196421917   -19.96865089149719    85.22004166666669   -9.53622222222222    
  115   12.15   11.03   10.27   9.35    8.95    8.82    8.37    5.06   0.2    -1.77   D    2M   Simbad   213.67136892936955   -19.835771427939356   85.36541666666666   -9.528083333333337   
  116   ""      ""      ""      14.41   13.61   12.71   11.5    7.77   ""     0.52    FP   2M   Simbad   213.6882731321215    -19.79222739452139    85.41220833333333   -9.523666666666667   
  117   14.28   12.97   12.01   10.67   10.15   9.78    9.32    6.66   0.29   -1.31   D    2M   Simbad   213.6736782587139    -19.7957775439363     85.40295833333332   -9.512805555555556   
  118   12.65   11.78   11.5    11.35   11.23   11.02   10.11   5.8    0.24   -1.42   D    2M   Simbad   213.62721790336295   -19.86844319110357    85.31737500000001   -9.504694444444445   
  119   14.38   13.47   12.98   12.28   11.93   11.43   10.9    8.75   0.14   -1.21   D    2M   Simbad   213.60601379469387   -19.886789213241386   85.291875           -9.494611111111107   
  120   12.82   11.92   11.44   11.04   10.73   10.48   9.92    6.65   0.14   -1.56   D    2M   Simbad   213.60289239607124   -19.864069970130885   85.31137500000003   -9.482166666666666   
  121   15.02   14.25   13.71   12.21   11.64   11.16   10.33   7.55   0.0    -0.69   D    2M   Simbad   213.54767413301323   -19.94274682000993    85.21670833333332   -9.469249999999999   
  122   16.61   ""      ""      ""      ""      ""      12.14   6.87   ""     ""      P    2M   Simbad   213.5046172374939    -20.026308794814238   85.12258333333332   -9.468777777777781   
